Table V2023R1,V9.0 (P12),V11 (P22),Abbreviation,Description,Module,Activity code
IDADDNA7,New table,,ID7,DNA import Back-pay paid,Human Resources administration,
IDADDNA8,New table,,ID8,DNA import Entertainment,Human Resources administration,FINTM
IDADEMP,New table,,IDA,Annual declaration of employee data import,Human Resources administration,
IDADEMP10,New table,,IDL,Annual declaration of employee data and occupation and skills forecasting,Human Resources administration,
IDADEMP11,New table,,IDM,DADS-U overtime import,Human Resources administration,
IDADEMP12,New table,,IDQ,DADS-U welfare claims import,Human Resources administration,
IDADEMP121,New table,,IDE,Annual declaration of employee data welfare import,Human Resources administration,
IDADEMP2,New table,,IDS,Annual declaration of employee data import,Human Resources administration,
IDADEMP3,New table,,HRIDP,Annual declaration of employee data welfare import,Human Resources administration,
IDADEMP31,New table,,IDF,DADS-U events welfare import,Human Resources administration,
IDADEMP32,New table,,IDR,DADS-U payment welfare import,Human Resources administration,
IDADEMP33,New table,,IDU,DADS-U complementary health insurance import,Human Resources administration,
IDADEMP34,New table,,IDV,DADS-U events complementary health insurance import,Human Resources administration,
IDADEMP35,New table,,IDW,DADS-U payment complementary health insurance import,Human Resources administration,
IDADEMP4,New table,,IDC,Annual declaration of employee data import,Human Resources administration,
IDADEMP5,New table,,IDG,DADS-U savings import,Human Resources administration,
IDADEMP6,New table,,IDH,Import of DADS-U shares,Human Resources administration,
IDADEMP7,New table,,IDI,DADS-U benefits import,Human Resources administration,
IDADEMP8,New table,,IDJ,DADS-U exemptions import,Human Resources administration,
IDADEMP9,New table,,IDK,DADS-U allowances import,Human Resources administration,
IDTCCE,New table,,IDTC,Dimension index,Financials,PRCSL
ILOGIMG,,,ILO,Ilog images,Manufacturing,
IMCDETPRT,,,IMP,Cost comparison,Common Data,
IMURANO,New table,,IPM,Spanish payroll interface setup,Financials,MURAN
IMURANOD,New table,,IPMD,Spanish payroll interface setup,Financials,MURAN
INCDCL,New table,New table,INC,Income declaration,Human Resources administration,KPO
INCOTERM,,,ICTH,Incoterms,Common Data,
INCOTERMD,Modification,Modification,ICTD,Incoterms Detail,Common Data,
INSCRIPT,New table,Modification,INS,Registrations,Human Capital management,
INSJOU,New table,Modification,INJ,Registration days,Human Capital management,
INSJOUA,New table,Modification,INA,Days absent,Human Capital management,
INTCOFLO,,,ICF,Intercompany transactions,Common Data,INTCO
INTERVEN,Modification,,ITN,Service response,Common Data,
INVDACPAR,,,IDP,BP invoice entry settings,A/P-A/R accounting,
INVENTD,Modification,Modification,INVD,Counts,Stock,KPO
INVENTH,,,INV,Counts,Stock,KPO
INVNUMSPA,,,ISP,Source document,Financials,KSP
IRCTCODPOR,New table,New table,HRIRCT,IRCT Code,Common Data,FPOPH
IRP5RECONADD,New table,New table,IRPRECA,,Human Resources administration,FZAPH
IRP5RECONRES,New table,New table,IRPREC,,Human Resources administration,FZAPH
IRP5RECONVIS,New table,New table,IRPVIS,,Human Resources administration,FZAPH
ITCDET,,,ICD,Detail cost for printing,Common Data,
ITCDETPRT,,,ICP,Temporary products - cost,Common Data,
ITCMAT,,,ICC,Temporary products - cost,Common Data,
ITCMATCH,,,IMC,Cost comparison,Common Data,
ITCNAT,,,ICN,Nature detail - costs,Common Data,
ITCPITTMP,New table,New table,ITCT,Products-costs PIT,Common Data,
ITCWST,Modification,Modification,IWC,Temporary products - cost,Common Data,
ITCWSTW,,,IWW,Temporary products - cost,Common Data,
ITMABCWRK,,,ITK,ABC Class calculation,Stock,
ITMACGGRP,,,ITA,Product,Fixed Assets,
ITMBOM,,,ITB,Products - BOMs,Common Data,
ITMBOMCFG,,,CFB,Products - BOMs,Common Data,CFG
ITMBPC,,,ITU,Customer product,Common Data,
ITMBPS,Modification,Modification,ITP,Supplier product,Common Data,
ITMBPSFCY,New table,New table,ITPF,Supplier product site,Common Data,
ITMCATEG,Modification,Modification,ITG,Product category,Common Data,
ITMCOMP,,,ICM,Competitor products,Common Data,
ITMCOST,,,ITC,Products-costs,Common Data,
ITMCOSTPIT,New table,New table,ITCP,Products-costs PIT,Common Data,
ITMCPPLNK,,,ILK,Competitor/product link,Common Data,
ITMCPTVER,,,ICV,Version counter setup,Common Data,ECC
ITMCUSNOM,,,INO,NC8 product BOM,Common Data,
ITMFACILIT,Modification,Modification,ITF,Products-sites,Common Data,
ITMMASTER,Modification,Modification,ITM,Products,Common Data,
ITMMVT,,,ITV,Product-site totals,Common Data,
ITMMVTHIS,,,ITH,Total product - site history,Common Data,
ITMMVTPIT,New table,New table,ITVP,Product-site totals PIT,Common Data,
ITMSALES,Modification,,ITS,Products - sales,Common Data,
ITMWRH,,,ITW,Products-warehouses,Common Data,WRH
ITVPITTMP,New table,New table,ITVT,Product-site totals PIT,Common Data,
JOBTYP,New table,Modification,JOT,Standard jobs,Common Data,FHRPA
JOBTYPDEF,New table,,JOD,Job type default values,Common Data,FHRPA
JOBTYPKSA,New table,Modification,JSA,Additional RSA fields,Common Data,FKGPH
JSNX3DET,New table,Modification,JXD,JSON-X3 transform map detail,Common Data,
JSNX3HEAD,New table,Modification,JXH,JSON-X3 transformation mapper,Common Data,
JSNX3TRAN,New table,Modification,JXT,JSON-X3 transport,Common Data,
KCOEF,Modification,,KCO,Impairment loss coefficients,Fixed Assets,KPO
KPYIMPDTL,Modification,,KPD,Sage 50/Murano payroll detail,Financials,MUIMP
KPYIMPDTLA,New table,,KPA,Analytical line,Financials,MURAN
KPYIMPHDR,Modification,,KPH,Sage 50/Murano payroll header,Financials,MUIMP
KPYIMPTRAN,Modification,Modification,KPT,Sage 50 import transcribe,Financials,MUIMP
KTEMPPOR,,,KTP,Temporary portuguese lists,Fixed Assets,KPO
LABADCPRINT,New table,New table,LAP,Label setup,Stock,ADC
LABELPRN,Modification,Modification,LBP,Label printing,Stock,
LASTCUSMVT,,,LCM,Last customer movements,Common Data,
LASTSUPMVT,,,LSM,Last supplier movements,Common Data,
LAYOUTFAS,,,LOF,Expenses,Fixed Assets,
LEABILBOOK,Modification,,LBB,Lease contract schedules,Fixed Assets,LEA
LEAD,Modification,Modification,LDS,Leads,CRM activities,
LEASE,Modification,,LEA,Lease contracts,Fixed Assets,LEA
LEGOBGSET,New table,New table,HRLOS,Legal obligations setup,Human Resources administration,KPO
LEGOBGSETD,New table,New table,HRLOD,Legal obligations setup,Human Resources administration,KPO
LIVREPAYE,New table,,LPA,Payroll journals,Human Resources administration,
LNKCPTABD,,,LCD,ABELX3 acc link detail,Fixed Assets,
LNKCPTABX3,Modification,Modification,LCA,ABELX3 acc link,Fixed Assets,
LPN,New table,New table,LPN,License plate number,Stock,
LTAPAR,Modification,,LTP,Sage Sales Tax connection,Sales,LTA
LTAVCR,,,LTV,Local tax by sales document,Sales,LTA
MACHINES,Modification,,MAC,Installed base,Common Data,
MACITN,,,MAI,Machine installations,Common Data,
MACWARREQ,,,MWR,Warranty request archive,Common Data,
MAILING,,,OMM,Mass mailing,Common Data,
MAILXML,,,MXL,Mass mailing XML,Common Data,
MAILXMLD,,,MXD,Mass mailing lines XML,Common Data,
MALADIE,New table,Modification,MAL,Sickness certificate/Maternity,Human Resources administration,
MANDATE,,,MDT,Mandates,Common Data,SDD
MARASSDEF,,,MAD,Content of sectors,CRM activities,
MARASSREP,,,MAR,Representative portfolio,CRM activities,
MARDEF,,,MDF,Definitions of sectors,CRM activities,
MARDEFVAL,,,MDV,Criteria details,CRM activities,
MARREPSEC,,,MRS,Allocation of sectors,CRM activities,
MARSCT,,,MST,Market sectors,CRM activities,
MATCHCODE,,,MTC,Match letters to use,Financials,
MATCHTOL,Modification,Modification,MAT,Matching tolerance,Purchasing,
MATCSTW,,,MAW,Material calculation,Common Data,
MAXBUILD,New table,New table,MAXB,Maximum build quantity,Common Data,
MDL10,New table,New table,M10H,Model 10,Human Resources administration,KPO
MDL10D,New table,New table,M10D,Model 10,Human Resources administration,KPO
MDL30,New table,New table,M30H,Model 30,Human Resources administration,KPO
MDL30D,New table,New table,M30D,Model 30,Human Resources administration,KPO
MEAEMP,New table,Modification,MEA,Monthly employer certificate,Common Data,FINTM
MEDIA,,,OMN,Media campaign,Common Data,
MEDWRK,New table,Modification,MEW,Occupational health,Common Data,FHRPA
MEMFOR,,,FOG,Memos,Common Data,
MESPAR,,,MPA,MES setup,Manufacturing,
MFCDETPRT,,,MCP,Material detail,Common Data,
MFCMAT,,,MCC,Material detail,Common Data,
MFCNAT,,,MCN,Nature detail - PC,Common Data,
MFCSCRAP,,,MCS,Scrap cost,Manufacturing,
MFCTYPREL,,,MTR,Cost comparison,Common Data,
MFCWST,Modification,,MCW,Operation detail,Common Data,
MFGANL,,,MFA,WO analysis,Manufacturing,
MFGCOST,Modification,,MFC,Cost price,Common Data,
MFGHEAD,Modification,Modification,MFG,Work order - header,Manufacturing,
MFGHEADTRK,Modification,Modification,MTK,Manufacture tracking - header,Manufacturing,
MFGITM,Modification,,MFI,Work orders - products,Manufacturing,
MFGITMTRK,Modification,Modification,MKI,Manufacture tracking - products,Manufacturing,
MFGMAT,Modification,Modification,MFM,Work order - materials,Manufacturing,
MFGMATREV,New table,New table,MMR,Work order - materials audit,Manufacturing,
MFGMATTRK,Modification,,MKM,Manufacture tracking - materia,Manufacturing,
MFGOPE,Modification,Modification,MFO,Work order - operations,Manufacturing,
MFGOPEREV,New table,New table,MOR,Work order - operations audit,Manufacturing,
MFGOPETRK,Modification,Modification,MKO,Manufacture tracking - operati,Manufacturing,
MFGPRN,,,MFP,Work orders - documents,Manufacturing,
MFGSERDET,New table,New table,MFSD,WO - serial no. link detail,Manufacturing,
MFGSERHDR,New table,New table,MFSH,WO - serial no. link header,Manufacturing,
MFGTRS,Modification,Modification,MTS,Production entry transaction,Manufacturing,
MFGVERSION,,,MFV,MFG version change,Manufacturing,
MFGWIP,,,MWH,WIP valuation - header,Common Data,
MGTATCUD,New table,Modification,ATCUD,ATCUD management,Common Data,KPO
MGTWASTE,New table,Modification,MGTW,Waste management,Common Data,
MIGX,New table,New table,MIGX,X3 People - Migration,Common Data,
MIGXTBLCMP,New table,New table,MIGXTCP,Migration table compare header,Common Data,
MIGXTBLDIF,New table,New table,MIGXTDF,Migration table schema diff,Common Data,
MIGXTBLMAP,New table,New table,MIGXTM,Migration table mapping,Common Data,
MISIND,New table,New table,MID,Responsibility indicator,Common Data,FHRPA
MISJOTIND,New table,New table,MJI,Responsibility,Common Data,FHRPA
MISPOTIND,New table,New table,MPI,Responsibility,Common Data,FHRPA
MISSION,New table,,MIS,Role,Common Data,FHRPA
MKGLEVEL,,,MKL,Level,CRM activities,
MKGOPG,,,MOG,Target/operations relations,CRM activities,
MKGQUR,,,MQR,Marketing targets,CRM activities,
MKGQURPPL,,,MQP,Intermediate populations,CRM activities,
MMSDEFVAL,,,MMV,MMS default values,Common Data,
MMSPAR,,,MMS,MMS setup,Common Data,
MODSCALE,,,MODL,Weighing scale templates,Manufacturing,MWM
MOTENT,New table,,MOE,Arrival reason,Common Data,FHRPA
MSCALR,New table,,MSC,Headings to be calculated,Human Resources administration,MAS
MSENTEML,New table,,MHE,TP employee arrival hypothesis,Human Resources administration,MAS
MSFLDATM,New table,,HRMFA,Field initialized for RTP,Human Resources administration,MAS
MSGGRIL,New table,,MRI,TP entry grids,Human Resources administration,MAS
MSGRIL,New table,,MGR,TP entry grids,Human Resources administration,MAS
MSHISTO,New table,,MHS,TP history,Human Resources administration,MAS
MSHISTOH,New table,,MHH,TP history Tracking,Human Capital management,MAS
MSHYPENP,New table,,MHP,Hypothesis of non-permanent elts,Human Resources administration,MAS
MSHYPRUB,New table,,MHR,Heading hypothesis,Human Resources administration,MAS
MSHYPTXAT,New table,,MHT,WI rate hypothesis,Human Resources administration,MAS
MSHYPVAD,New table,,MHD,Variable hypotheses,Human Resources administration,MAS
MSHYPVAH,New table,,MHV,Variable hypotheses,Human Resources administration,MAS
MSHYPVAL,New table,,MHL,Variable hypotheses,Human Resources administration,MAS
MSLIVREPAY,New table,,LPM,Total payroll journals,Human Resources administration,MAS
MSLRUB,New table,,MLR,List of TP headings,Human Resources administration,MAS
MSMODCTR,New table,,MHC,Contract modification hypotheses,Human Resources administration,MAS
MSRUB,New table,,MSR,TP headings,Human Resources administration,MAS
MSSCENAH,New table,,MCH,Scenario,Human Resources administration,MAS
MSSCENAL,New table,,MCL,Scenario,Human Resources administration,MAS
MSVALEUR,New table,,MHA,Variable value history TP,Human Resources administration,MAS
MSXITEML,New table,,MHX,TP employee departure hypothesis,Human Resources administration,MAS
MTCAUTO,,,MTU,Automatic matching,Financials,
MTCBATCH,,,MTB,Batch matching,Financials,
MTCGAUTMP,,,MGT,Document matching preparation,Financials,
MTHTAXDCL,New table,New table,MTDH,Monthly PAYE declaration,Human Resources administration,KPO
MTHTAXDCLD,New table,New table,MTDD,Monthly PAYE declaration,Human Resources administration,KPO
MTKCRDASW,,,MTA,Technical sheets - responses,Manufacturing,
MTOHEAD,Modification,,MTO,MTO network,Common Data,
MTOLINK,,,MLK,Demand/resource assignments,Common Data,
MWMCRDASW,,,MWA,Booth procedures - Responses,Manufacturing,MWM
N4DSTABD,New table,,N4D,N4DS code correspondences,Human Resources administration,
N4DSTABH,New table,,N4H,N4DS code correspondences,Human Resources administration,
NAMETXTEMP,New table,New table,ETX,Namibia monthly employees TAX,Human Resources administration,KNA
NATACTIV,New table,New table,NAT,Natures of activity,Human Resources administration,
NCSADES,New table,New table,NCSADE,Non-conformance description,Common Data,NCS
NCSAPPROVER,New table,New table,NCSAPPR,Non-conformance approvers,Common Data,NCS
NCSBPC,New table,New table,NCSBPC,Customers,Common Data,NCS
NCSBPS,New table,New table,NCSBPS,Suppliers,Common Data,NCS
NCSDES,New table,New table,NCSDES,Non-conformance description,Common Data,NCS
NCSDOCHDR,New table,New table,NCSDHD,Non-conformance documents,Common Data,NCS
NCSDOCLIN,New table,New table,NCSDLN,Non-conformance documents,Common Data,NCS
NCSDOCOPE,New table,New table,NCSDOP,Non-conformance operation info,Common Data,NCS
NCSEXTUSR,New table,New table,NCSEU,External user,Common Data,NCS
NCSINTUSR,New table,New table,NCSIU,Internal users,Common Data,NCS
NCSRECENT,New table,New table,NCSRC,Non-conformance,Common Data,NCS
NCSREJDES,New table,New table,NCSREJ,Rejection description,Common Data,NCS
NETAUTO,,,NTO,Netting,A/P-A/R accounting,
NICDET,New table,New table,NIC,NI category,Common Data,FHRPA
NOTCATEG,,,NTG,Note category,Common Data,
NOTE,,,NTS,Notes,Common Data,
NPICOMPONENT,New table,New table,NPIC,Product design components,Common Data,NPI
NPICOMPREF,New table,New table,NPICREF,Product design references,Common Data,NPI
NPIHEADER,New table,New table,NPIH,Product design header,Common Data,NPI
NPIPWU,New table,New table,NPIW,Where used,Common Data,NPI
NRYPAR,,,NRY,ENERGY setup,Financials,FAL
NUMCAI,Modification,,NCA,CAI assignment,Common Data,KAG
OBJECTIFBI,New table,,OBI,BI objectives,Common Data,FHRPA
OCPCODPOR,New table,New table,HROCP,Profession code,Common Data,FPOPH
ODPAY,New table,New table,ODP,Payroll MO,Common Data,FHRPA
ODPAYA,New table,New table,ODA,Analytical pay MO,Common Data,FHRPA
ODPAYE,New table,New table,ODE,Pay MO header,Common Data,FHRPA
OMMRESULT,,,MRE,Merge data,CRM activities,
OMMRPT,,,OMR,Mailing report,CRM activities,
OPERATIONS,Modification,Modification,OPS,Load in progress,Manufacturing,
OPPOR,Modification,Modification,OPP,Project,Common Data,
OPPORCPP,New table,,OCP,Project competitor,Common Data,
OPPORCRM,New table,,OPPCRM,CRM project,Common Data,
OPPORI,New table,New table,OPPI,Project,Common Data,PJM
OPPORPJM,New table,Modification,OPPPJM,PJM project,Common Data,PJM
OPPORPJMI,New table,New table,OPJI,Project,Common Data,PJM
OPPORSBB,New table,Modification,OBB,Sub-project,Common Data,
OPPORSTA,New table,,OSA,Project after-sales steps,Common Data,
OPPORSTB,New table,,OSB,Project pre-sales steps,Common Data,
ORDCOMP,,,DOO,Service caller,Common Data,
ORDCOV,Modification,,ORC,WIP consideration history,Stock,
ORDERS,Modification,Modification,ORD,WIP,Common Data,
ORDOOPAR,,,ORO,APS setup,Manufacturing,
ORDOPPAR,,,ORP,PREACTOR parameters,Manufacturing,
ORGAFFIL,New table,Modification,ORA,Organization membership,Common Data,FHRPA
ORGANISME,New table,Modification,ORG,Organizations,Common Data,FHRPA
ORGBAN,New table,Modification,ORB,Organization,Common Data,FHRPA
ORGFINTRA,New table,,OFT,Training funding organizations,Human Capital management,
OVENAT,,,ONA,Overhead category,Common Data,
OVERHEAD,,,OVE,Overhead codes,Common Data,
PARADC,New table,New table,PDC,Mobile Automation setup,Common Data,ADC
PARCOL,New table,,PAC,Collective DPS scheme,Human Resources administration,
PARESC,,,PEC,Escalation parameter,Common Data,
PAREVT,,,PVT,Parameterisation of events,Fixed Assets,
PAREVTD,,,PVD,Parameterisation of events,Fixed Assets,
PARFLUX,,,PFL,Parametn of funds(header),Fixed Assets,
PARFLUXDET,,,PFD,Parametn of funds(detail),Fixed Assets,
PARIND,New table,,PAI,Individual distribution,Human Resources administration,
PARJAL,,,PJA,Scheduling parameters,Manufacturing,
PARLDAP,,,LDA,Expense asset link parameter,Fixed Assets,
PARMRP,Modification,,PCB,Requirements parameters,Stock,
PARMTO,,,PTO,Assignment rules,Common Data,
PARSTA1,,,PS1,Statistical triggers,Supervisor,
PARSTA2,,,PS2,Statistical parameters,Supervisor,
PARSTALIG,,,PSL,Statistical report line parameters,Supervisor,
PARSTOACC,,,PAS,Stock interface setup,Stock,
PARTAXUSA,,,PTU,American tax parameters,Common Data,
PARTRZL,,,TZL,Transit fields paramtn,Fixed Assets,
PARTRZLDET,,,TZD,Transit flds paramtn detl,Fixed Assets,
PARVAR,New table,,PVR,Variables to configure,Human Resources administration,
PARVARAEM,New table,New table,PVA,Variables to configure,Human Resources administration,FINTM
PARVARIND,New table,,PVI,Variables to configure,Human Resources administration,PAR
PARWIPACC,,,PWA,Wipcost-interface parameter,Manufacturing,
PARWIPACCS,,,SWA,Wipcost-interface parameter,Purchasing,
PATCHPDP,New table,,HRPPP,Payment plan patches follow-up,Human Resources administration,
PATCHPDPOBJ,New table,,PPO,Payment plan patches follow-up,Human Resources administration,
PAYACCNUM,,,PAN,Accounting payment entry,A/P-A/R accounting,
PAYACCNUMD,,,PMD,Accounting payment entry,A/P-A/R accounting,
PAYFRM,Modification,Modification,FRM,Payment slips,A/P-A/R accounting,
PAYLOT,Modification,,PYL,Entry batch,A/P-A/R accounting,
PAYMENTA,,,PYA,Analytical payment lines,A/P-A/R accounting,
PAYMENTD,Modification,Modification,PYD,Payment lines,A/P-A/R accounting,
PAYMENTH,Modification,Modification,PYH,Payment header,A/P-A/R accounting,
PAYMENTPORD,New table,Modification,PYPTD,Payment lines,A/P-A/R accounting,
PAYMENTPORH,New table,Modification,PYPTH,Payment header,A/P-A/R accounting,
PAYMTCTMP,,,PMP,Payment matching temp table,A/P-A/R accounting,
PAYMTCTMP2,,,PM2,Payment matching temp table,A/P-A/R accounting,
PAYORDER,,,PYO,Prepayments,Common Data,
PAYPTD,,,PYP,Payment order lines/receipt,A/P-A/R accounting,KAG
PAYPTH,,,PAH,Payment order header/receipts,A/P-A/R accounting,KAG
PAYPTHDOC,,,PAO,Payment orders/receipt documents,A/P-A/R accounting,KAG
PAYPTHRIT,,,PRI,Withholdings,A/P-A/R accounting,KAG
PAYTMP,,,PTP,Temporary payments table,A/P-A/R accounting,
PAYVAT,Modification,,PYHV,Cash VAT (Portugal),Financials,KPO
PBDBPGRP,,,PBDBPG,Economic reason/BP groups,Common Data,
PBDBPGRPD,,,PBDBPD,Economic reason/BP groups,Common Data,
PBDCONFIG,,,PBDCNF,Payment balance configuration,Financials,PBDCL
PBDCONFIGD,,,PBDCNFD,Payment balance configuration,Financials,PBDCL
PBDECOCOD,,,PBDECO,Economic reason code,Common Data,
PBDECODITM,,,PBDEIT,Economic reason by product,Financials,PBDCL
PBDGEN,,,PBDGEN,Payment balance declaration,Financials,PBDCL
PBDGEND,,,PBDGEND,Payment balance decl details,Financials,PBDCL
PBDUICONF,,,PBDUIC,Payment balance field settings,Financials,PBDCL
PBDUICONFD,,,PBDUID,Payment balance field lines,Financials,PBDCL
PDPDET,Modification,Modification,PDD,MPS calculation detail,Manufacturing,
PDPHEA,,,PDH,MPS calculation header,Manufacturing,
PERIOD,,,PER,Periods,Common Data,
PFLCATCODPOR,New table,New table,HRPFL,Professional cat.,Common Data,FPOPH
PFOOTINV,,,PFI,Purchase invoicing elements,Common Data,
PHONECALL,Modification,,CLL,Call,Common Data,
PHONING,,,OMP,Phone campaign,Common Data,
PHYBUI,,,BUI,Building,Fixed Assets,PHY
PHYELT,,,PHY,Physical assets,Fixed Assets,PHY
PHYLCT,,,LCT,Localizations,Fixed Assets,PHY
PHYMVT,,,PMVT,Physical assets - movements,Fixed Assets,PHY
PIHRMEMPSET,New table,New table,PIES,Employee,Human Resources administration,PAPI
PIHRMFAIR,New table,New table,PIFA,People integration,Human Resources administration,PAPI
PIHRMFAIRCFG,New table,New table,PICF,People integration,Human Resources administration,PAPI
PIHRMFAIRERR,New table,New table,PHFE,Error,Human Resources administration,PAPI
PIHRMFAIRSET,New table,New table,PIFS,People integration,Human Resources administration,PAPI
PIMPL,New table,Modification,PIM,Project link,Common Data,
PIMPLSEL,New table,Modification,PIS,Temporary allocation lines,Common Data,PJM
PINVOICE,Modification,Modification,PIH,Purchase invoices,Common Data,
PINVOICED,Modification,Modification,PID,Purchase invoice detail,Purchasing,
PINVOICEV,,,PIV,Costing purchase invoices,Purchasing,
PITCOUNT,,,PCT,Point counter,Common Data,
PITDEB,,,PDB,Points debit,Common Data,
PITDEBD,,,PBD,Point debits (line),Common Data,
PIVOTS,,,PIT,Pivots,Common Data,
PIVZON,,,PIZ,Pivot areas,Common Data,
PIWRK,,,PKW,Temporary journal traceability,Common Data,
PJMAFF,New table,Modification,PAF,Employee assignment,Common Data,PJM
PJMAUS,New table,Modification,PAUS,Project users,Common Data,PJM
PJMAUSCAVA,New table,New table,PJCV,PJM capacity variation,Common Data,PJM
PJMBUD,New table,Modification,PJBU,Project budget,Common Data,PJM
PJMBUDI,New table,New table,PJBUI,Project budget,Common Data,PJM
PJMBUDLIG,New table,Modification,PJLB,Budget line,Common Data,PJM
PJMBUDLIGI,New table,New table,PJLBI,Budget line,Common Data,PJM
PJMBUDTRQ,New table,Modification,PJQ,Financial overview queries,Common Data,PJM
PJMBUDTRS,New table,Modification,PJS,Financial overview structure,Common Data,PJM
PJMCLOB,New table,Modification,PJCB,Special folders,Common Data,PJM
PJMCNSVTETM1,New table,New table,VT1,Time verification,Common Data,PJM
PJMCNSVTETM2,New table,New table,VT2,Time verification,Common Data,PJM
PJMCNSVTETMP,New table,New table,VTE,Time verification,Common Data,PJM
PJMCOSTCTR,New table,Modification,PJCC,Cost type,Common Data,PJM
PJMCOSTDAT,New table,,PCD,Rate at a given date,Common Data,PJM
PJMCOSTGRP,New table,New table,PJCG,Cost group,Common Data,PJM
PJMDE,New table,,PJE,Detailed expense,Common Data,PJM
PJMFINCTORPT,New table,Modification,PJMCTO,Cost type reporting,Common Data,PJM
PJMFINOVRRPT,New table,Modification,PJMRPT,Cost structure reporting,Common Data,PJM
PJMMSTNEXINV,New table,New table,PJMST,Next invoice milestone,Common Data,PJM
PJMOPEAFF,New table,Modification,PJOA,Employee assignment,Common Data,PJM
PJMOPEAFFI,New table,New table,PJOAI,Employee assignment,Common Data,PJM
PJMOPSNPD,New table,New table,PJSNPD,Project snapshot detail,Common Data,PJM
PJMOPSNPH,New table,New table,PJSNPH,Project snapshots,Common Data,PJM
PJMPRGBILD,New table,New table,PBILD,Progress billing plan lines,Sales,PJM
PJMPRGBILH,New table,New table,PBILH,Progress billing plan,Sales,PJM
PJMSALITMD,New table,Modification,PSPLD,Saleable product list,Common Data,PJM
PJMSC,New table,Modification,PJC,Consolidated expenses,Common Data,PJM
PJMSCCT,New table,Modification,PJCCT,Consolidated expenses,Common Data,PJM
PJMSNPD,New table,New table,PSNPD,Snapshot detail,Common Data,PJM
PJMSNPH,New table,New table,PSNPH,Snapshots,Common Data,PJM
PJMSNPW0,New table,New table,PSW0,Snapshot temporary structure,Common Data,PJM
PJMSNPW1,New table,New table,PSW1,Snapshot temporary structure,Common Data,PJM
PJMSOLITMD,New table,Modification,PSOD,Sold product list,Common Data,PJM
PJMSOLITMH,New table,Modification,PSOH,Sales document creation,Common Data,PJM
PJMSOLITMO,New table,Modification,PSOO,Sold product list,Common Data,PJM
PJMTIMACT,New table,New table,PTEAT,Activity template,Common Data,PJM
PJMTIMACTI,New table,New table,PTEATI,Activity template,Common Data,PJM
PJMTIMCAT,New table,New table,PJTC,Time category,Common Data,PJM
PJMTIMEMP,New table,Modification,PTE,Time summary,Common Data,PJM
PJMTIMEMPH,,Deleted table,PTEH,Time summary,Common Data,PJM
PJMTIMEMPI,New table,Modification,PTI,Time summary,Common Data,PJM
PJMTIMEMPRPT,New table,New table,PTER,Time entry report,Common Data,PJM
PJMTIMEMPTMP,New table,New table,PTET,Time summary,Common Data,PJM
PJMTSK,New table,Modification,PJTA,Project task,Common Data,PJM
PJMTSKCAT,New table,Modification,PTC,Project task category,Common Data,PJM
PJMTSKCATOPE,New table,New table,PTCO,Task category operations,Common Data,PJM
PJMTSKDEP,New table,,PKD,Project dependencies,Common Data,PJM
PJMTSKI,New table,New table,PJTAI,Project task,Common Data,PJM
PJMTSKITM,New table,Modification,JTT,Main product,Common Data,PJM
PJMTSKITMI,New table,New table,JTTI,Main product,Common Data,PJM
PJMTSKLNK,New table,New table,PTLNK,Task precedence link,Common Data,PJM
PJMTSKOPE,New table,Modification,PTKO,Tasks - Operations,Common Data,PJM
PJMTSKOPEI,New table,New table,PTKOI,Tasks - Operations,Common Data,PJM
PJMTSKOPELNK,New table,New table,OPLNK,Operation precedence link,Common Data,PJM
PLANACT,New table,New table,PLAACT,Actions,Common Data,NCS
PLANDET,New table,New table,PLADET,Plan detail,Common Data,NCS
PLANEMP,New table,New table,PLE,Employee plannings,Human Resources administration,
PLANHDR,New table,New table,PLAHDR,Plan header,Common Data,NCS
PLANTYP,New table,New table,PLN,Reference plannings,Human Resources administration,
PLGMKG,,,PLG,Marketing schedule management,CRM activities,
PLGOPG,,,PLO,Marketing schedule management,CRM activities,
PLMDEFVAL,,,PDV,PLM default values,Common Data,
PLMPAR,,,PPA,PLM setup,Common Data,
PLNBUD,New table,Modification,HRPLB,Training plan budget,Human Capital management,
PLNCOUT,New table,Modification,PLC,Training plan costs,Human Capital management,
PLNFORM,New table,Modification,PLF,Training plan,Human Capital management,
POOL,,,POO,Banking pool,A/P-A/R accounting,
POPSCALEXP,New table,,CEP,Calendar exception,Manufacturing,POPS
POPSCUSFLDS,New table,,PSCF,Prod. Sched. custom fields,Manufacturing,POPS
POPSCUSVALS,New table,,PSCV,Prod. Sched. custom values,Manufacturing,POPS
POPSMRK,New table,,MRK,Planner One marker,Manufacturing,POPS
POPSOBJ,New table,,PSOBJ,Objects in PS,Manufacturing,POPS
POPSPIN,New table,Modification,PIN,Operation pin type,Manufacturing,POPS
POPSTAG,New table,,TAG,Planner One tag,Manufacturing,POPS
POPUL,New table,,HRPOP,Employee populations,Common Data,FHRPA
POPULA,New table,Modification,HRPOA,Employee populations,Common Data,FHRPA
POPULB,New table,,POB,Employee populations,Common Data,FHRPA
PORDER,Modification,,POH,POs,Purchasing,
PORDERC,Modification,Modification,POC,Cumulative POs before returns,Purchasing,
PORDERP,Modification,,POP,POs price,Purchasing,
PORDERQ,Modification,Modification,POQ,POs quantities,Purchasing,
PORDITM,Modification,Modification,POI,Purchase orders by product,Purchasing,
PORQRC,New table,Modification,PORQRC,Portuguese QR-data,Common Data,
